eventId,eventName,course,tour,season,startDate,endDate,purse,winner,lastSynced
23,Blue Cross and Blue Shield of Kansas Wichita Open,Crestview Country Club,kft,2025,2025-06-19,2025-12-27,,,2025-12-27
122,Memorial Health Championship,Panther Creek Country Club,kft,2025,2025-06-26,2025-12-27,,,2025-12-27
130,The Ascendant,TPC Colorado,kft,2025,2025-07-10,2025-12-27,,,2025-12-27
22,Price Cutter Charity Championship,Highland Springs Country Club,kft,2025,2025-07-17,2025-12-27,,,2025-12-27
131,NV5 Invitational,The Glen Club,kft,2025,2025-07-24,2025-12-27,,,2025-12-27
26,Utah Championship,Ogden Golf & Country Club,kft,2025,2025-07-31,2025-12-27,,,2025-12-27
123,Pinnacle Bank Championship,The Club at Indian Creek,kft,2025,2025-08-07,2025-12-27,,,2025-12-27
27,Albertsons Boise Open,Hillcrest Country Club,kft,2025,2025-08-14,2025-12-27,,,2025-12-27
120,Simmons Bank Open for the Snedeker Foundation,Vanderbilt Legends Club,kft,2025,2025-09-11,2025-12-27,,,2025-12-27
94,Nationwide Children's Hospital Championship,Ohio State University Golf Club - Scarlet Course,kft,2025,2025-09-18,2025-12-27,,,2025-12-27
166,Compliance Solutions Championship,The Patriot Golf Club,kft,2025,2025-10-02,2025-12-27,,,2025-12-27
45,Korn Ferry Tour Championship,The Pete Dye Course at French Lick Resort,kft,2025,2025-10-09,2025-12-27,,,2025-12-27
16,The Sentry,Plantation Course at Kapalua,pga,2024,2024-01-04,2025-12-27,,,2025-12-27
6,Sony Open in Hawaii,Waialae Country Club,pga,2024,2024-01-11,2025-12-27,,,2025-12-27
2,The American Express,Pete Dye Stadium Course;La Quinta Country Club;Nicklaus Tournament Course,pga,2024,2024-01-18,2025-12-27,,,2025-12-27
4,Farmers Insurance Open,Torrey Pines Golf Course (South Course);Torrey Pines Golf Course (North Course),pga,2024,2024-01-24,2025-12-27,,,2025-12-27
5,AT&T Pebble Beach Pro-Am,Pebble Beach Golf Links;Spyglass Hill Golf Course,pga,2024,2024-02-01,2025-12-27,,,2025-12-27
3,WM Phoenix Open,TPC Scottsdale (Stadium Course),pga,2024,2024-02-08,2025-12-27,,,2025-12-27
7,The Genesis Invitational,The Riviera Country Club,pga,2024,2024-02-15,2025-12-27,,,2025-12-27
540,Mexico Open,Vidanta Vallarta,pga,2024,2024-02-22,2025-12-27,,,2025-12-27
10,Cognizant Classic in The Palm Beaches,PGA National Resort (The Champion),pga,2024,2024-02-29,2025-12-27,,,2025-12-27
483,Puerto Rico Open,Grand Reserve Golf Club,pga,2024,2024-03-07,2025-12-27,,,2025-12-27
9,Arnold Palmer Invitational,Arnold Palmer's Bay Hill Club & Lodge,pga,2024,2024-03-07,2025-12-27,,,2025-12-27
11,THE PLAYERS Championship,TPC Sawgrass (THE PLAYERS Stadium Course),pga,2024,2024-03-14,2025-12-27,,,2025-12-27
475,Valspar Championship,Innisbrook Resort (Copperhead Course),pga,2024,2024-03-21,2025-12-27,,,2025-12-27
20,Texas Children's Houston Open,Memorial Park Golf Course,pga,2024,2024-03-28,2025-12-27,,,2025-12-27
41,Valero Texas Open,TPC San Antonio (Oaks Course),pga,2024,2024-04-04,2025-12-27,,,2025-12-27
14,Masters Tournament,Augusta National Golf Club,pga,2024,2024-04-11,2025-12-27,,,2025-12-27
12,RBC Heritage,Harbour Town Golf Links,pga,2024,2024-04-18,2025-12-27,,,2025-12-27
522,Corales Puntacana Championship,Puntacana Resort & Club (Corales Golf Course),pga,2024,2024-04-18,2025-12-27,,,2025-12-27
18,Zurich Classic of New Orleans,TPC Louisiana,pga,2024,2024-04-25,2025-12-27,,,2025-12-27
19,THE CJ CUP Byron Nelson,TPC Craig Ranch,pga,2024,2024-05-02,2025-12-27,,,2025-12-27
480,Wells Fargo Championship (now Truist Championship),Quail Hollow Club,pga,2024,2024-05-09,2025-12-27,,,2025-12-27
553,Myrtle Beach Classic (now ONEflight Myrtle Beach Classic),The Dunes Golf and Beach Club,pga,2024,2024-05-09,2025-12-27,,,2025-12-27
33,PGA Championship,Valhalla Golf Club,pga,2024,2024-05-16,2025-12-27,,,2025-12-27
21,Charles Schwab Challenge,Colonial Country Club,pga,2024,2024-05-23,2025-12-27,,,2025-12-27
32,RBC Canadian Open,Hamilton Golf & Country Club,pga,2024,2024-05-30,2025-12-27,,,2025-12-27
23,the Memorial Tournament,Muirfield Village Golf Club,pga,2024,2024-06-06,2025-12-27,,,2025-12-27
26,U.S. Open,Pinehurst Resort & Country Club (Course No. 2),pga,2024,2024-06-13,2025-12-27,,,2025-12-27
34,Travelers Championship,TPC River Highlands,pga,2024,2024-06-20,2025-12-27,,,2025-12-27
524,Rocket Mortgage Classic (now Rocket Classic),Detroit Golf Club,pga,2024,2024-06-27,2025-12-27,,,2025-12-27
30,John Deere Classic,TPC Deere Run,pga,2024,2024-07-04,2025-12-27,,,2025-12-27
541,Genesis Scottish Open,The Renaissance Club,pga,2024,2024-07-11,2025-12-27,,,2025-12-27
518,ISCO Championship,Keene Trace Golf Club (Champion Trace),pga,2024,2024-07-11,2025-12-27,,,2025-12-27
472,Barracuda Championship,Tahoe Mountain Club (Old Greenwood),pga,2024,2024-07-18,2025-12-27,,,2025-12-27
100,The Open Championship,Royal Troon,pga,2024,2024-07-18,2025-12-27,,,2025-12-27
525,3M Open,TPC Twin Cities,pga,2024,2024-07-25,2025-12-27,,,2025-12-27
519,Olympic Men's Golf Competition,Le Golf National,pga,2024,2024-08-01,2025-12-27,,,2025-12-27
13,Wyndham Championship,Sedgefield Country Club,pga,2024,2024-08-08,2025-12-27,,,2025-12-27
27,FedEx St. Jude Championship,TPC Southwind,pga,2024,2024-08-15,2025-12-27,,,2025-12-27
28,BMW Championship,Castle Pines Golf Club,pga,2024,2024-08-22,2025-12-27,,,2025-12-27
60,TOUR Championship,East Lake Golf Club,pga,2024,2024-08-29,2025-12-27,,,2025-12-27
464,Procore Championship,Silverado Resort (North Course),pga,2024,2024-09-12,2025-12-27,,,2025-12-27
500,Presidents Cup,Royal Montreal,pga,2024,2024-09-29,2025-12-27,,,2025-12-27
54,Sanderson Farms Championship,The Country Club of Jackson,pga,2024,2024-10-03,2025-12-27,,,2025-12-27
554,Black Desert Championship (now Bank of Utah Championship),Black Desert Resort,pga,2024,2024-10-10,2025-12-27,,,2025-12-27
47,Shriners Children's Open,TPC Summerlin,pga,2024,2024-10-17,2025-12-27,,,2025-12-27
527,ZOZO CHAMPIONSHIP (now Baycurrent Classic),ACCORDIA GOLF Narashino Country Club,pga,2024,2024-10-24,2025-12-27,,,2025-12-27
457,World Wide Technology Championship,El Cardonal at Diamante,pga,2024,2024-11-07,2025-12-27,,,2025-12-27
528,Butterfield Bermuda Championship,Port Royal Golf Course,pga,2024,2024-11-14,2025-12-27,,,2025-12-27
493,The RSM Classic,Sea Island Golf Club (Seaside Course);Sea Island Golf Club (Plantation Course),pga,2024,2024-11-21,2025-12-27,,,2025-12-27
478,Hero World Challenge,Albany GC,pga,2024,2024-12-05,2025-12-27,,,2025-12-27
88,PGA TOUR Q-School,Dye's Valley Course;Sawgrass Country Club,pga,2024,2024-12-12,2025-12-27,,,2025-12-27
16,The Sentry,Plantation Course at Kapalua,pga,2025,2025-01-02,2025-12-27,,,2025-12-27
6,Sony Open in Hawaii,Waialae Country Club,pga,2025,2025-01-09,2025-12-27,,,2025-12-27
2,The American Express,Pete Dye Stadium Course;Nicklaus Tournament Course;La Quinta Country Club,pga,2025,2025-01-16,2025-12-27,,,2025-12-27
4,Farmers Insurance Open,Torrey Pines Golf Course (South Course);Torrey Pines Golf Course (North Course),pga,2025,2025-01-22,2025-12-27,,,2025-12-27
5,AT&T Pebble Beach Pro-Am,Pebble Beach Golf Links;Spyglass Hill Golf Course,pga,2025,2025-01-30,2025-12-27,,,2025-12-27
3,WM Phoenix Open,TPC Scottsdale (Stadium Course),pga,2025,2025-02-06,2025-12-27,,,2025-12-27
7,The Genesis Invitational,Torrey Pines Golf Course (South Course),pga,2025,2025-02-13,2025-12-27,,,2025-12-27
540,Mexico Open,Vidanta Vallarta,pga,2025,2025-02-20,2025-12-27,,,2025-12-27
10,Cognizant Classic in The Palm Beaches,PGA National Resort (The Champion Course),pga,2025,2025-02-27,2025-12-27,,,2025-12-27
